;Grid_Code;population_total_units;al_10_under;al_10_19;al_20_29;al_30_39;al_40_49;al_50_59;al_60_69;al_70_79;al_80_over;alk_18_under;alk_18_29;alk_30_49;alk_50_64;alk_65_over;fam_single;fam_married;fam_widowed;fam_divorced;fam_civil_partner;fam_civil_partner_deceased;fam_civil_partner_dissolved;fam_unknown;geb_germany;geb_eu27;geb_other_europe;geb_other_world;geb_other;ght_male;ght_female;re_roman_catholic;re_protestant;re_other;sg_germany;sg_eu27;sg_other_europe;sg_other_world;sg_other;sh_germany;sh_bosnia;sh_greece;sh_italy;sh_kazakhstan;sh_croatia;sh_netherlands;sh_austria;sh_poland;sh_romania;sh_russia;sh_turkey;sh_ukraine;sh_other;sk_germany;sk_abroad;sz_one;sz_mult_german_foreign;sz_mult_foreign_only;sz_unknown
13269;100mN33325E42397;194;15;9;38;39;40;29;15;7;3;18;44;79;42;11;110;57;3;24;0;0;0;0;154;19;8;13;0;103;91;37;59;98;157;19;9;9;0;157;0;0;7;0;0;0;0;4;0;0;8;0;14;157;37;187;7;0;0
13270;100mN33325E42398;172;11;17;22;19;30;24;25;19;5;22;28;49;35;38;75;60;17;20;0;0;0;0;143;10;12;5;3;82;90;18;53;101;157;3;10;3;0;157;0;0;0;0;0;0;0;3;0;0;9;0;3;157;15;160;12;0;0
13271;100mN33325E42399;91;9;6;22;9;7;16;7;7;8;12;25;16;19;19;47;31;6;7;0;0;0;0;69;5;13;4;0;39;52;8;30;53;76;3;10;3;0;76;0;0;0;0;0;0;0;3;0;0;9;0;3;76;15;84;7;0;0
13272;100mN33325E42400;15;0;0;0;0;4;3;4;4;0;0;0;4;3;7;5;8;0;3;0;0;0;0;11;3;0;0;0;9;6;3;8;4;11;3;0;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;3;11;4;14;0;0;0
13273;100mN33325E42401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13274;100mN33325E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13275;100mN33325E42403;11;0;3;0;3;4;0;0;3;0;3;0;6;0;3;6;4;0;0;0;0;0;0;11;0;0;0;0;4;7;0;9;3;11;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;0;0
13276;100mN33325E42404;93;7;9;25;15;7;12;7;8;3;14;27;22;16;14;57;26;5;5;0;0;0;0;78;6;9;0;0;45;48;8;35;50;83;4;6;0;0;83;0;0;0;0;0;0;0;0;0;0;4;0;3;83;10;90;3;0;0
13277;100mN33325E42405;199;23;20;38;40;25;15;15;13;10;40;41;65;24;29;109;66;9;15;0;0;0;0;162;3;21;12;0;95;104;17;65;117;162;4;25;8;0;162;0;0;0;0;0;0;0;0;0;0;23;0;11;162;37;188;10;0;0
13278;100mN33325E42406;243;18;24;47;37;40;36;21;14;6;38;51;77;48;29;137;64;8;31;3;0;0;0;196;14;16;17;0;123;120;28;83;132;202;11;23;7;0;202;0;0;0;0;0;0;0;3;0;0;13;0;18;202;41;231;12;0;0
13279;100mN33325E42407;163;10;14;16;13;44;28;16;17;5;23;17;57;41;25;62;82;9;10;0;0;0;0;153;6;0;3;0;84;79;12;74;77;160;0;0;3;0;160;0;0;0;0;0;0;0;0;0;0;0;0;3;160;3;162;0;0;0
13280;100mN33325E42408;188;13;10;14;28;32;32;31;19;9;20;17;60;49;42;83;75;10;20;0;0;0;0;172;8;3;5;0;98;90;12;94;82;179;5;3;3;0;179;0;0;0;0;0;0;0;0;0;0;3;0;6;179;9;182;6;0;0
13281;100mN33325E42409;138;9;14;23;18;23;25;14;8;4;19;27;41;34;17;73;46;7;12;0;0;0;0;118;3;12;5;0;68;70;6;52;80;123;0;11;4;0;123;0;0;0;0;0;0;0;0;0;0;11;0;4;123;15;133;5;0;0
13282;100mN33325E42410;165;6;26;24;31;30;16;14;12;6;25;31;61;25;23;92;36;9;28;0;0;0;0;141;5;11;8;0;67;98;16;54;95;149;3;13;0;0;149;0;0;0;0;0;0;0;0;0;0;10;0;3;149;16;152;13;0;0
13283;100mN33325E42411;57;0;0;10;11;10;5;6;8;5;3;10;21;7;17;32;9;9;7;0;0;0;0;48;3;3;5;0;26;31;6;22;29;50;0;0;5;0;50;0;0;0;0;0;0;0;0;0;0;0;0;6;50;7;56;0;0;0
13284;100mN33325E42412;78;8;5;20;11;17;7;4;5;0;11;22;28;10;7;44;26;3;5;0;0;0;0;66;5;3;3;0;34;44;9;23;46;73;5;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;3;73;5;72;4;3;0
13285;100mN33325E42413;182;11;10;48;28;28;27;9;10;11;18;51;56;33;24;109;50;8;15;0;0;0;0;165;4;3;10;0;87;95;15;70;97;170;3;5;5;0;170;0;0;0;0;0;0;0;0;0;0;4;0;7;170;12;177;5;0;0
13286;100mN33325E42414;111;8;3;10;23;13;12;16;17;10;10;10;36;21;34;44;47;11;9;0;0;0;0;100;6;3;3;0;43;68;12;34;65;108;3;0;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;3;108;3;106;5;0;0
13287;100mN33325E42415;170;3;5;28;30;25;25;21;18;15;8;28;55;32;47;89;37;21;19;4;0;0;0;150;7;3;9;0;71;99;11;72;87;162;3;0;6;0;162;0;0;0;0;0;0;0;0;0;0;0;0;8;162;8;166;4;0;0
13288;100mN33325E42416;85;5;3;6;11;15;10;10;14;11;6;8;26;15;30;29;32;10;14;0;0;0;0;76;3;5;3;0;36;49;12;28;45;82;0;3;0;0;82;0;0;0;0;0;0;0;0;0;0;3;0;0;82;3;79;6;0;0
13289;100mN33325E42417;158;14;17;8;15;31;18;13;28;14;25;14;46;25;48;60;57;24;17;0;0;0;0;146;4;0;4;4;63;95;11;78;69;157;0;0;0;0;157;0;0;0;0;0;0;0;0;0;0;0;0;0;157;0;152;6;0;0
13290;100mN33325E42418;269;15;14;162;26;18;6;8;11;9;20;171;44;10;24;205;38;6;20;0;0;0;0;194;20;10;34;11;111;158;36;105;128;213;18;11;26;0;213;0;0;0;0;0;0;0;6;0;0;6;0;36;213;56;256;12;0;0
13291;100mN33325E42419;108;7;6;3;14;14;16;11;22;16;13;3;28;19;46;38;47;10;13;0;0;0;0;101;3;0;3;3;46;62;6;67;35;104;0;0;3;0;104;0;0;0;0;0;0;0;0;0;0;0;0;3;104;4;107;0;0;0
13479;100mN33326E42391;198;18;21;40;33;42;22;9;7;6;32;47;75;24;20;121;37;12;27;0;0;0;0;145;10;13;29;0;111;87;21;61;116;154;8;13;23;0;154;0;3;0;0;0;0;0;0;0;0;7;0;29;154;44;181;14;3;0
13480;100mN33326E42392;165;10;11;17;15;28;35;21;17;11;18;20;43;42;42;56;73;15;21;0;0;0;0;144;6;10;4;0;85;80;23;63;79;151;3;12;0;0;151;0;0;0;0;0;0;0;0;0;0;9;0;3;151;14;156;9;0;0
13481;100mN33326E42393;188;13;13;36;34;29;21;20;12;10;23;39;63;28;35;96;57;13;22;0;0;0;0;144;18;8;18;0;96;92;20;63;105;154;6;15;13;0;154;0;0;0;0;0;0;0;3;0;0;13;0;15;154;34;174;14;0;0
13482;100mN33326E42394;117;6;6;26;24;24;11;10;6;4;9;29;48;17;14;65;27;6;17;3;0;0;0;84;10;12;11;0;63;54;13;32;72;91;8;8;9;0;91;0;0;0;0;0;0;0;0;3;0;8;0;14;91;26;108;8;0;0
13483;100mN33326E42395;149;10;14;40;20;25;11;8;14;7;19;45;45;13;27;101;25;9;14;0;0;0;0;136;6;0;6;0;67;82;12;70;67;140;5;0;3;0;140;0;0;0;0;0;0;0;0;0;0;0;0;6;140;9;142;7;0;0
13484;100mN33326E42396;230;23;13;60;49;27;22;21;13;3;32;64;76;32;26;137;59;9;24;0;0;0;0;179;13;24;13;0;121;109;28;73;129;185;10;27;8;0;185;0;0;0;0;0;0;0;0;0;0;23;0;21;185;45;210;20;0;0
13485;100mN33326E42397;167;13;15;39;18;26;22;13;13;8;24;43;44;29;27;101;46;10;10;0;0;0;0;136;13;12;4;3;82;85;33;72;62;143;12;10;3;0;143;0;0;0;0;0;0;0;3;0;0;4;0;15;143;24;158;8;0;0
13486;100mN33326E42398;122;5;11;7;13;16;15;14;6;35;14;9;29;21;49;44;31;36;11;0;0;0;0;98;6;5;3;10;51;71;17;53;52;116;0;3;3;0;116;0;0;0;0;0;0;0;0;0;0;3;0;3;116;6;115;7;0;0
13487;100mN33326E42399;137;14;21;30;19;21;8;15;7;3;31;34;40;15;17;82;39;9;7;0;0;0;0;98;5;22;11;0;72;65;20;32;85;104;5;25;3;0;104;3;0;3;0;0;0;0;0;0;0;21;0;6;104;33;121;16;0;0
13488;100mN33326E42400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13489;100mN33326E42401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13490;100mN33326E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13491;100mN33326E42403;43;3;5;12;10;7;3;0;3;0;6;14;17;4;3;24;9;3;6;0;0;0;0;31;0;9;3;0;23;20;3;10;31;31;0;10;0;0;31;0;0;0;0;0;0;0;0;0;0;10;0;0;31;12;40;3;0;0
13492;100mN33326E42404;167;25;27;26;28;24;15;10;4;8;47;31;52;19;18;92;61;5;9;0;0;0;0;121;3;24;19;0;88;79;8;50;109;118;4;38;7;0;118;0;0;0;0;0;0;0;0;0;0;37;0;10;118;49;146;21;0;0
13493;100mN33326E42405;190;12;25;39;38;29;17;15;12;3;36;40;67;25;22;114;51;10;15;0;0;0;0;148;7;20;15;0;87;103;17;69;104;147;4;31;8;0;147;0;0;0;0;0;0;0;3;0;3;29;0;9;147;43;170;20;0;0
13494;100mN33326E42406;132;9;10;20;14;27;20;17;13;3;18;21;41;32;20;65;44;7;16;0;0;0;0;121;4;4;3;0;69;63;11;39;82;127;0;4;0;0;127;0;0;0;0;0;0;0;0;0;0;4;0;0;127;5;128;4;0;0
13495;100mN33326E42407;176;9;12;31;22;33;28;22;13;6;16;36;55;41;28;96;57;12;9;0;0;0;0;152;4;7;11;3;89;87;5;68;103;163;4;3;6;0;163;0;0;0;0;0;0;0;0;0;0;3;0;8;163;13;168;8;0;0
13496;100mN33326E42408;108;8;4;29;23;12;16;6;7;3;11;30;35;21;11;65;30;7;5;0;0;0;0;92;4;5;6;0;49;59;6;42;60;94;4;4;6;0;94;0;0;0;0;0;0;0;0;0;0;4;0;8;94;14;104;3;0;0
13497;100mN33326E42409;189;16;26;15;15;39;33;18;13;14;37;20;54;46;32;82;90;4;13;0;0;0;0;172;8;6;3;0;88;101;21;74;94;176;4;5;4;0;176;0;0;0;0;0;0;0;0;0;0;5;0;5;176;13;186;3;0;0
13498;100mN33326E42410;223;25;17;43;37;38;18;24;11;10;39;46;75;31;32;117;74;10;22;0;0;0;0;197;7;10;9;0;111;112;17;82;124;205;4;10;4;0;205;0;0;0;0;0;0;0;3;0;0;7;0;8;205;18;207;16;0;0
13499;100mN33326E42411;60;0;0;0;9;10;7;13;11;9;0;0;19;13;27;14;28;6;12;0;0;0;0;51;6;0;3;0;20;40;0;23;36;58;3;0;0;0;58;0;0;0;0;0;0;0;3;0;0;0;0;0;58;3;59;0;0;0
13500;100mN33326E42412;46;3;3;3;3;8;9;7;7;5;5;3;10;13;15;16;16;7;7;0;0;0;0;43;3;0;0;0;18;28;5;19;22;44;3;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;44;3;44;3;0;0
13501;100mN33326E42413;136;4;3;60;12;13;12;13;11;8;4;63;25;20;24;89;24;11;12;0;0;0;0;116;10;3;6;0;56;80;14;61;61;133;0;0;0;0;133;0;0;0;0;0;0;0;0;0;0;0;0;3;133;3;129;7;0;0
13502;100mN33326E42414;110;6;11;11;14;20;23;13;10;3;14;14;34;28;20;48;52;5;5;0;0;0;0;103;3;3;3;0;51;59;4;52;54;105;0;0;3;0;105;0;0;0;0;0;0;0;0;0;0;0;0;4;105;5;110;0;0;0
13503;100mN33326E42415;137;0;5;32;16;19;20;17;13;14;5;33;35;28;36;77;21;16;23;0;0;0;0;119;10;3;5;0;60;77;17;63;57;128;4;3;3;0;128;0;0;3;0;0;0;0;0;0;0;0;0;7;128;9;132;5;0;0
13504;100mN33326E42416;102;7;13;3;17;19;12;14;12;5;17;6;36;18;25;32;47;11;12;0;0;0;0;96;3;3;0;0;43;59;5;47;50;97;0;4;0;0;97;0;0;0;0;0;0;0;0;0;0;4;0;0;97;5;96;6;0;0
13505;100mN33326E42417;197;5;11;36;30;27;16;28;24;20;10;42;57;30;58;91;51;24;31;0;0;0;0;176;7;9;5;0;78;119;25;73;99;184;0;11;0;0;184;0;0;0;0;0;0;0;0;0;0;9;0;0;184;13;192;5;0;0
13506;100mN33326E42418;108;5;9;22;17;16;9;9;15;6;12;24;33;15;24;47;46;5;10;0;0;0;0;96;6;3;3;0;49;59;7;34;67;101;5;3;0;0;101;0;0;0;0;0;0;0;0;0;0;3;0;5;101;7;104;4;0;0
13507;100mN33326E42419;54;3;8;3;6;5;5;15;8;3;7;6;11;15;15;16;29;4;5;0;0;0;0;48;3;0;3;0;24;30;9;26;19;53;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;52;3;0;0
13508;100mN33326E42420;89;0;19;4;3;4;35;17;5;3;8;15;7;42;17;27;53;3;6;0;0;0;0;84;4;0;0;0;44;45;6;33;50;87;3;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;87;3;87;3;0;0
13690;100mN33327E42391;3;0;0;0;0;0;3;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;3;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0
13691;100mN33327E42392;92;3;9;16;11;13;13;12;9;6;9;19;24;19;21;40;32;9;11;0;0;0;0;82;4;3;3;0;34;58;7;39;46;88;3;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;3;88;4;87;5;0;0
13692;100mN33327E42393;114;3;11;37;8;15;17;8;8;8;10;40;23;23;18;68;27;10;9;0;0;0;0;102;4;3;5;0;56;58;18;42;54;107;3;3;3;0;107;0;0;0;0;0;0;0;0;0;0;3;0;3;107;7;111;3;0;0
13693;100mN33327E42394;117;7;4;12;8;11;12;10;19;34;11;12;19;20;55;42;26;40;9;0;0;0;0;102;4;7;3;0;46;71;6;47;64;110;0;4;3;0;110;0;0;0;0;0;0;0;0;0;0;3;0;3;110;7;111;6;0;0
13694;100mN33327E42395;257;16;16;53;45;53;27;22;15;10;29;56;98;39;35;146;66;10;33;3;0;0;0;218;9;16;14;0;141;116;21;106;130;226;8;13;10;0;226;3;0;0;0;0;3;0;0;0;0;8;0;16;226;31;241;15;0;0
13695;100mN33327E42396;201;11;19;45;28;44;18;18;15;3;29;46;72;28;26;110;55;7;29;0;0;0;0;146;23;21;10;0;105;96;19;62;120;148;21;25;7;0;148;3;0;0;0;0;0;0;0;0;0;20;0;27;148;53;192;9;0;0
13696;100mN33327E42397;123;3;5;47;18;20;9;10;8;4;4;50;38;18;13;82;30;4;7;0;0;0;0;115;3;3;3;0;57;66;15;67;41;120;0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;3;120;3;120;3;0;0
13697;100mN33327E42398;178;11;12;31;33;26;32;11;16;6;19;35;59;40;25;86;68;10;13;0;0;0;0;136;20;8;13;0;86;92;25;56;97;149;14;7;7;0;149;0;0;0;0;0;0;0;0;0;0;6;0;22;149;29;172;5;0;0
13698;100mN33327E42399;152;9;17;22;26;31;23;7;10;7;20;28;57;26;21;88;40;9;15;0;0;0;0;115;13;12;10;3;80;72;23;57;72;126;6;17;3;0;126;0;0;0;0;0;0;0;0;0;0;16;0;8;126;26;140;12;0;0
13699;100mN33327E42400;65;0;9;8;4;22;9;6;6;0;6;11;26;10;12;25;30;3;7;0;0;0;0;44;3;13;6;0;38;27;12;9;44;41;0;19;4;0;41;0;0;0;0;0;0;0;0;0;0;19;0;5;41;24;63;3;0;0
13700;100mN33327E42401;4;0;0;0;0;0;3;3;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;4;0;0;0;0;3;3;0;4;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0
13701;100mN33327E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13702;100mN33327E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13703;100mN33327E42404;84;8;10;15;18;16;9;5;3;0;18;15;34;10;7;48;28;5;3;0;0;0;0;73;4;4;3;0;48;36;8;21;55;69;0;12;3;0;69;0;0;0;0;0;0;0;0;0;0;11;0;3;69;15;76;8;0;0
13704;100mN33327E42405;181;9;11;19;40;32;23;20;18;9;19;20;72;27;43;89;62;10;19;0;0;0;0;172;3;3;4;0;94;87;15;67;99;174;0;3;3;0;174;0;0;0;0;0;0;0;0;0;0;0;0;4;174;7;180;0;0;0
13705;100mN33327E42406;193;9;17;35;25;35;31;18;15;8;21;40;60;38;34;99;68;6;20;0;0;0;0;172;10;3;9;0;92;101;14;83;96;178;7;3;6;0;178;0;0;0;0;0;0;0;3;0;0;0;0;10;178;15;191;3;0;0
13706;100mN33327E42407;127;6;10;14;19;27;23;16;9;3;14;16;46;30;21;57;45;6;18;0;0;0;0;118;6;3;0;0;62;65;13;48;66;122;3;3;0;0;122;0;0;0;0;0;0;0;3;0;0;0;0;3;122;5;125;3;0;0
13707;100mN33327E42408;17;3;0;0;3;0;4;3;0;0;3;3;4;6;3;7;10;0;0;0;0;0;0;16;0;0;0;0;11;6;3;7;7;17;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;17;0;0;0
13708;100mN33327E42409;162;5;16;33;19;34;32;14;9;0;18;36;53;43;12;92;54;0;13;3;0;0;0;144;8;3;7;0;88;74;12;67;83;149;8;3;3;0;149;0;0;0;0;0;0;0;4;0;0;0;0;7;149;13;159;3;0;0
13709;100mN33327E42410;144;10;17;23;13;30;21;20;6;4;21;29;43;32;19;74;50;8;12;0;0;0;0;124;14;0;5;0;72;72;19;70;55;131;10;0;3;0;131;0;0;0;0;0;0;3;0;0;0;0;0;7;131;13;136;7;0;0
13710;100mN33327E42411;72;0;5;14;9;7;10;8;13;5;5;15;16;14;22;36;25;9;3;0;0;0;0;62;6;0;3;0;31;41;8;29;35;66;3;0;3;0;66;0;0;0;0;0;0;0;0;0;0;0;0;6;66;6;71;0;0;0
13711;100mN33327E42412;95;6;10;4;6;11;32;12;8;6;11;9;17;39;19;32;48;9;4;3;0;0;0;90;5;0;0;0;44;51;3;39;53;95;0;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;95;0;0;0
13712;100mN33327E42413;110;10;14;11;17;20;14;14;9;0;21;14;37;22;16;53;34;9;14;0;0;0;0;96;7;3;5;0;49;61;11;47;52;103;3;3;3;0;103;0;0;0;0;0;0;0;0;0;0;0;0;5;103;7;104;6;0;0
13713;100mN33327E42414;143;20;14;17;19;21;20;10;18;4;30;21;40;25;27;71;47;13;12;0;0;0;0;124;6;8;4;0;67;76;15;54;74;129;3;11;0;0;129;0;0;0;0;0;0;0;0;0;0;10;0;4;129;14;138;5;0;0
13714;100mN33327E42415;138;18;14;11;17;36;11;13;12;6;28;15;53;19;23;53;73;5;7;0;0;0;0;124;8;3;3;0;69;69;14;61;63;130;3;3;3;0;130;0;3;0;0;0;0;0;0;0;0;0;0;6;130;8;133;5;0;0
13715;100mN33327E42416;114;9;10;20;13;13;14;14;12;9;19;20;26;18;31;42;50;10;12;0;0;0;0;101;8;0;4;0;50;64;12;44;58;110;3;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;3;110;4;104;10;0;0
13716;100mN33327E42417;18;0;0;0;0;5;0;8;3;0;0;0;5;5;7;3;12;3;0;0;0;0;0;17;0;0;0;0;10;8;0;10;7;18;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;17;0;0;0
13717;100mN33327E42418;39;3;0;0;0;5;5;14;10;0;3;0;6;10;20;5;24;6;4;0;0;0;0;37;3;0;0;0;19;20;12;12;15;37;3;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;37;3;39;0;0;0
13718;100mN33327E42419;57;0;3;6;3;0;12;23;7;3;3;7;4;26;18;13;38;0;5;0;0;0;0;54;3;0;0;0;26;31;8;26;23;55;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;55;3;56;0;0;0
13719;100mN33327E42420;116;3;14;10;3;16;46;13;10;3;13;14;18;58;13;32;74;3;7;0;0;0;0;109;3;3;0;3;53;63;18;53;45;113;0;3;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;3;113;3;116;0;0;0
13720;100mN33327E42421;72;5;5;4;3;13;15;17;10;0;8;6;15;21;22;24;34;7;7;0;0;0;0;70;0;0;0;0;35;37;7;26;39;71;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;71;0;0;0
13900;100mN33328E42391;161;22;17;17;21;29;27;13;8;7;34;22;50;36;19;84;57;9;11;0;0;0;0;149;4;3;4;0;67;94;19;73;69;156;3;3;0;0;156;0;0;0;0;0;0;0;0;0;0;0;0;4;156;5;154;7;0;0
13901;100mN33328E42392;175;19;11;27;45;34;19;11;8;0;28;29;79;28;11;107;48;7;13;0;0;0;0;142;15;10;8;0;93;82;27;63;85;146;12;9;7;0;146;0;0;0;0;0;0;0;7;0;0;9;0;13;146;29;160;12;0;3
13902;100mN33328E42393;102;12;4;22;21;12;10;10;6;5;15;23;33;14;17;59;29;6;7;0;0;0;0;84;13;3;3;0;45;57;7;37;58;86;10;5;0;0;86;3;0;0;0;0;0;0;0;6;0;0;0;4;86;16;94;8;0;0
13903;100mN33328E42394;151;7;10;28;19;23;30;16;8;10;15;30;42;39;25;72;52;17;10;0;0;0;0;134;10;3;5;0;76;75;19;67;65;138;7;0;5;0;138;0;0;3;0;0;0;0;0;0;0;0;0;9;138;13;148;3;0;0
13904;100mN33328E42395;223;19;23;30;42;40;30;25;13;0;42;30;82;43;26;120;69;7;25;3;0;0;0;192;11;13;6;0;115;108;19;71;133;199;7;12;5;0;199;0;0;0;0;0;0;0;3;0;0;10;0;9;199;24;210;13;0;0
13905;100mN33328E42396;152;8;10;20;13;30;35;18;12;6;16;22;43;45;26;58;64;11;17;3;0;0;0;131;5;9;5;3;72;80;16;56;80;134;3;11;4;0;134;0;0;0;0;0;0;0;0;0;0;10;0;4;134;18;146;6;0;0
13906;100mN33328E42397;88;7;8;6;12;13;12;18;7;5;13;8;25;22;20;35;45;4;4;0;0;0;0;77;3;0;7;0;47;41;7;30;51;80;0;0;6;0;80;0;0;0;0;0;0;0;0;0;0;0;0;8;80;8;86;3;0;0
13907;100mN33328E42398;108;11;14;27;11;13;10;11;8;3;20;32;24;14;18;59;38;7;4;0;0;0;0;77;6;17;7;0;55;53;6;22;80;80;4;21;3;0;80;0;0;0;0;0;0;0;0;0;0;14;0;10;80;28;91;17;0;0
13908;100mN33328E42399;146;11;8;40;21;26;19;7;9;5;17;42;47;21;19;85;42;7;12;0;0;0;0;108;13;15;9;0;82;64;16;43;87;113;12;16;5;0;113;0;0;0;0;0;0;0;6;0;0;16;0;10;113;33;136;10;0;0
13909;100mN33328E42400;19;0;3;4;3;3;4;0;3;0;3;5;5;4;3;9;6;3;0;0;0;0;0;19;0;0;0;0;7;12;0;14;5;19;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;17;3;0;0
13910;100mN33328E42401;7;0;0;0;0;0;0;3;3;0;0;0;0;0;6;0;5;0;0;0;0;0;0;6;0;0;0;0;4;3;0;6;0;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;0;0
13911;100mN33328E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13912;100mN33328E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13913;100mN33328E42404;21;0;0;5;5;4;0;3;3;0;0;6;9;3;3;13;6;0;0;0;0;0;0;18;0;0;0;0;13;8;3;5;14;21;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;18;3;0;0
13914;100mN33328E42405;48;3;3;9;7;8;11;5;4;0;4;9;15;13;7;20;19;3;7;0;0;0;0;42;0;4;3;0;25;23;3;18;27;42;0;4;3;0;42;0;0;0;0;0;0;0;0;0;0;4;0;3;42;6;48;0;0;0
13915;100mN33328E42406;165;11;19;35;19;25;27;14;11;4;24;41;44;37;19;93;44;6;22;0;0;0;0;136;9;8;11;0;81;84;17;83;65;140;7;11;7;0;140;0;0;0;0;0;0;0;4;0;0;11;0;8;140;25;157;7;0;0
13916;100mN33328E42407;134;12;20;9;19;22;33;7;7;5;28;13;41;39;13;65;55;6;8;0;0;0;0;122;4;5;3;0;62;72;16;56;62;128;3;3;0;0;128;0;0;3;0;0;0;0;0;0;0;3;0;0;128;6;131;3;0;0
13917;100mN33328E42408;149;11;22;19;18;26;28;8;14;3;30;22;44;33;20;66;69;4;10;0;0;0;0;137;5;3;3;0;72;77;14;65;70;145;0;3;0;0;145;0;0;0;0;0;0;0;0;0;0;3;0;0;145;4;145;4;0;0
13918;100mN33328E42409;127;6;15;9;10;24;25;17;15;6;20;10;34;37;26;46;62;7;12;0;0;0;0;113;4;4;5;0;65;62;10;45;72;115;3;7;3;0;115;0;0;0;0;0;0;0;0;0;0;5;0;6;115;12;120;7;0;0
13919;100mN33328E42410;127;10;15;13;24;21;16;13;11;4;20;18;45;22;22;57;50;10;10;0;0;0;0;111;3;3;11;0;65;62;4;53;70;119;0;3;6;0;119;0;0;0;0;0;0;0;0;0;0;3;0;6;119;8;121;6;0;0
13920;100mN33328E42411;75;3;5;13;6;19;12;4;6;8;6;14;25;14;16;38;22;8;7;0;0;0;0;67;4;4;0;0;35;40;7;36;32;73;3;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;73;3;75;0;0;0
13921;100mN33328E42412;94;9;14;10;4;21;29;5;3;0;18;15;25;33;3;38;49;0;6;0;0;0;0;82;4;7;0;0;44;50;3;34;58;82;4;8;0;0;82;0;0;0;0;0;0;0;3;0;0;4;3;3;82;12;89;5;0;0
